Experimento - ID: M1-D1, eficiencia: 184, accuracy: 23, precision: 24, tiempo: 3
Experimento - ID: M2-D2, eficiencia: 189, accuracy: 71, precision: 8, tiempo: 3
Experimento - ID: exp1, eficiencia: 294, accuracy: 24, precision: 86, tiempo: 7
Experimento - ID: exp2, eficiencia: 301, accuracy: 43, precision: 7, tiempo: 1
Experimento - ID: exp1, eficiencia: 6, accuracy: 24, precision: 1, tiempo: 4
Experimento - ID: exp2, eficiencia: 510, accuracy: 63, precision: 81, tiempo: 10
Experimento - ID: exp1, eficiencia: 2254, accuracy: 69, precision: 98, tiempo: 3
Experimento - ID: exp1, eficiencia: 257, accuracy: 58, precision: 40, tiempo: 9
Experimento - ID: id1, eficiencia: 1219, accuracy: 46, precision: 53, tiempo: 2
Experimento - ID: id1, eficiencia: 86, accuracy: 36, precision: 24, tiempo: 10
Experimento - ID: exp1, eficiencia: 918, accuracy: 67, precision: 96, tiempo: 7
Experimento - ID: exp2, eficiencia: 87, accuracy: 30, precision: 29, tiempo: 10
Experimento - ID: exp1, eficiencia: 857, accuracy: 87, precision: 69, tiempo: 7
Experimento - ID: exp2, eficiencia: 600, accuracy: 84, precision: 50, tiempo: 7
Experimento - ID: exp1, eficiencia: 108, accuracy: 72, precision: 12, tiempo: 8
Experimento - ID: exp2, eficiencia: 212, accuracy: 15, precision: 99, tiempo: 7
Experimento - ID: exp1, eficiencia: 900, accuracy: 70, precision: 90, tiempo: 7
Experimento - ID: exp2, eficiencia: 728, accuracy: 78, precision: 28, tiempo: 3
Experimento - ID: exp1, eficiencia: 9, accuracy: 95, precision: 1, tiempo: 10
Experimento - ID: exp2, eficiencia: 460, accuracy: 79, precision: 35, tiempo: 6
Experimento - ID: exp1, eficiencia: 8, accuracy: 27, precision: 3, tiempo: 10
Experimento - ID: exp2, eficiencia: 972, accuracy: 74, precision: 92, tiempo: 7
Experimento - ID: exp1, eficiencia: 24, accuracy: 3, precision: 32, tiempo: 4
Experimento - ID: exp1, eficiencia: 150, accuracy: 27, precision: 39, tiempo: 7
Experimento - ID: exp1, eficiencia: 1880, accuracy: 94, precision: 100, tiempo: 5
Experimento - ID: exp2, eficiencia: 1147, accuracy: 62, precision: 37, tiempo: 2
Experimento - ID: exp1, eficiencia: 176, accuracy: 46, precision: 23, tiempo: 6
Experimento - ID: exp2, eficiencia: 2376, accuracy: 99, precision: 96, tiempo: 4
Experimento - ID: exp1, eficiencia: 2821, accuracy: 99, precision: 57, tiempo: 2
Experimento - ID: exp2, eficiencia: 106, accuracy: 53, precision: 18, tiempo: 9
Experimento - ID: exp1, eficiencia: 352, accuracy: 88, precision: 24, tiempo: 6
Experimento - ID: exp2, eficiencia: 485, accuracy: 41, precision: 71, tiempo: 6
Experimento - ID: exp1, eficiencia: 558, accuracy: 57, precision: 49, tiempo: 5
Experimento - ID: exp2, eficiencia: 440, accuracy: 88, precision: 15, tiempo: 3
Experimento - ID: exp1, eficiencia: 185, accuracy: 27, precision: 55, tiempo: 8
Experimento - ID: exp1, eficiencia: 2790, accuracy: 93, precision: 90, tiempo: 3
Experimento - ID: exp1, eficiencia: 153, accuracy: 16, precision: 67, tiempo: 7
Experimento - ID: exp2, eficiencia: 24, accuracy: 3, precision: 58, tiempo: 7
Experimento - ID: exp1, eficiencia: 1088, accuracy: 71, precision: 46, tiempo: 3
Experimento - ID: exp2, eficiencia: 1104, accuracy: 48, precision: 23, tiempo: 1
Experimento - ID: exp1, eficiencia: 1166, accuracy: 70, precision: 100, tiempo: 6
Experimento - ID: exp2, eficiencia: 292, accuracy: 8, precision: 73, tiempo: 2
Experimento - ID: exp1, eficiencia: 92, accuracy: 18, precision: 46, tiempo: 9
Experimento - ID: exp2, eficiencia: 537, accuracy: 48, precision: 56, tiempo: 5
Experimento - ID: exp1, eficiencia: 87, accuracy: 7, precision: 50, tiempo: 4
Experimento - ID: exp2, eficiencia: 360, accuracy: 46, precision: 47, tiempo: 6
Experimento - ID: exp1, eficiencia: 778, accuracy: 70, precision: 89, tiempo: 8
Experimento - ID: exp2, eficiencia: 8, accuracy: 21, precision: 2, tiempo: 5
Experimento - ID: exp1, eficiencia: 251, accuracy: 40, precision: 44, tiempo: 7
Experimento - ID: exp1, eficiencia: 960, accuracy: 90, precision: 32, tiempo: 3
